,,,,
4,10,18,21,31
11,13,15,25,28
17,19,21,28,33
1,27,28,33,35
1,15,22,27,38
16,17,19,29,32
7,11,12,30,39
6,16,21,30,32
8,9,13,18,34
8,22,25,26,32
4,17,18,36,37
8,13,22,23,31
13,18,25,32,33
16,18,32,34,36
4,13,26,34,39
4,13,26,34,39
1,13,21,29,33
2,17,26,28,30
17,21,27,32,35
10,12,16,19,32
3,12,29,32,39
2,4,20,32,37
21,29,32,36,38
3,15,25,30,35
3,5,7,34,38
4,12,22,30,31
2,22,35,36,37
6,7,11,14,21
6,16,27,30,34
11,16,28,33,38
1,15,18,22,29
19,23,26,27,36
3,10,14,17,27
9,13,18,29,32
2,14,22,36,38
3,7,12,17,36
4,5,8,31,35
4,8,23,26,30
3,12,15,23,28
5,8,15,37,38
5,7,12,24,25
2,8,23,28,34
1,18,19,22,35
3,5,31,32,38
8,14,19,21,38
5,9,12,31,34
9,21,23,34,35
11,20,25,28,29
1,6,8,27,35
3,7,8,35,38
1,2,13,28,31
25,29,34,37,39
4,24,33,35,37
5,10,20,25,27
3,13,15,33,37
13,20,32,35,36
8,16,26,37,38
6,15,17,25,38
20,25,28,32,35
3,4,8,10,30
3,4,21,23,29
4,12,27,30,35
5,23,25,33,37
11,22,35,37,39
15,16,17,22,26
9,10,12,21,27
3,5,15,23,27
2,10,11,13,31
4,12,13,19,33
10,15,16,27,33
8,16,18,26,38
11,12,22,23,37
26,27,29,34,37
5,8,25,29,32
14,21,22,25,36
1,5,10,13,35
6,9,11,32,36
1,15,30,37,38
10,17,19,31,33
7,15,21,33,34
4,6,14,26,35
2,3,5,7,31
7,20,23,24,27
3,11,14,24,26
4,7,16,20,22
3,13,19,21,23
5,12,14,29,30
11,14,26,30,37
6,22,27,30,38
11,17,18,31,34
9,10,11,24,27
6,10,16,17,37
11,17,19,26,36
1,12,24,25,27
8,22,26,30,32
5,12,22,28,29
2,5,16,20,34
4,13,15,25,37
7,15,16,26,35
2,9,10,15,33
11,22,23,35,38
3,5,15,28,31
4,5,6,17,36
5,9,10,22,25
8,9,17,22,24
9,10,18,26,29
3,4,17,27,33
19,20,24,32,33
4,17,22,28,30
3,6,13,16,34
1,6,32,33,35
1,6,9,16,39
1,9,13,17,20
3,12,31,37,39
2,6,8,25,39
3,11,16,19,22
10,19,27,33,35
20,25,26,33,35
11,19,22,29,35
13,16,25,36,37
1,2,3,6,13
9,16,21,35,37
8,20,31,35,37
15,21,24,27,30
11,13,25,29,36
8,12,24,30,34
5,24,26,30,34
3,7,23,35,36
5,10,11,28,39
8,19,25,28,31
10,15,20,22,27
2,13,19,21,22
5,8,10,16,38
4,18,28,29,35
1,5,23,36,38
6,22,25,33,38
8,14,21,24,29
5,10,19,20,39
5,18,20,24,27
3,5,23,25,34
1,2,3,15,34
10,18,27,29,32
6,7,8,12,28
2,11,13,19,28
9,14,20,36,39
1,12,19,20,34
7,13,17,26,29
1,15,19,22,28
4,16,20,26,29
5,8,23,32,38
2,10,26,29,37
18,22,33,36,37
2,3,8,19,34
7,17,26,27,33
1,3,19,32,38
19,21,23,29,32
5,7,17,34,39
5,6,10,11,36
2,4,11,28,37
12,13,29,30,37
10,13,25,26,30
18,21,32,34,37
7,20,30,34,39
7,15,16,26,29
14,15,20,22,36
6,12,18,20,25
1,15,17,20,38
2,7,13,17,22
3,8,14,21,30
1,2,7,19,33
4,6,7,11,18
1,9,13,31,37
1,8,11,33,39
10,11,16,29,38
5,6,16,26,30
6,7,14,30,31
18,27,31,36,38
9,10,11,27,34
7,11,20,21,35
9,15,17,21,30
1,6,15,18,23
5,10,15,34,35
12,22,23,26,28
15,20,21,36,38
21,26,31,32,39
4,10,15,23,37
2,6,9,20,29
11,20,31,35,38
17,26,28,35,37
5,13,26,31,34
1,9,22,34,37
4,18,19,29,39
3,19,33,34,35
5,14,22,35,38
1,4,9,12,18
7,16,18,35,36
2,6,9,24,30
4,17,24,29,31
3,4,8,10,31
9,28,33,34,39
4,13,23,32,37
10,11,21,29,35
2,31,33,37,39
8,13,16,25,35
3,8,9,18,36
5,11,13,27,32
3,17,18,19,20
3,5,8,26,30
8,18,19,22,28
2,9,21,22,33
11,12,24,29,37
3,5,18,29,35
3,8,13,24,26
9,25,28,30,33
13,17,23,25,32
9,10,17,30,37
3,6,8,19,27
5,8,10,11,36
3,15,28,31,32
7,15,17,25,28
5,7,21,35,36
3,11,29,30,38
11,13,16,17,38
9,15,20,23,26
13,14,18,26,35
3,19,22,25,28
1,16,20,29,33
1,2,3,20,22
3,12,15,16,20
10,11,13,29,36
15,17,28,30,38
3,22,25,26,33
10,15,28,29,37
3,9,27,34,39
14,16,19,22,23
8,15,16,26,32
3,8,13,14,30
2,8,24,37,38
14,22,25,33,39
5,14,20,24,37
3,11,12,31,38
5,13,21,23,35
3,17,19,33,35
3,11,13,30,37
13,19,20,24,27
8,11,31,33,35
1,2,9,16,37
6,15,23,27,31
1,4,7,22,39
1,2,7,22,33
11,23,26,27,36
12,27,32,37,39
3,4,10,12,27
9,10,17,23,25
1,8,10,16,34
8,14,25,26,34
2,5,12,19,23
10,20,26,28,37
2,4,9,21,39
2,6,20,27,31
1,4,6,21,23
1,8,22,37,38
5,15,17,21,25
4,13,14,21,31
13,23,26,30,36
4,16,27,29,32
2,5,13,17,26
12,21,22,37,39
10,20,28,29,38
2,18,28,33,38
7,8,10,29,31
6,8,13,15,26
14,23,36,37,38
5,18,35,37,38
4,10,18,24,35
6,9,14,16,32
4,12,15,34,37
7,10,19,24,31
2,3,23,28,29
4,12,16,33,37
14,23,25,32,35
14,15,18,27,31
4,11,26,36,39
2,3,24,36,39
3,11,15,16,21
6,17,19,24,36
11,17,25,34,39
8,15,21,30,37
14,16,17,28,38
4,13,29,30,31
7,17,30,31,32
6,12,16,18,38
7,13,14,31,38
1,15,33,36,38
5,11,15,29,39
6,7,10,23,39
3,14,21,24,32
13,16,23,37,39
7,9,14,19,28
3,10,12,19,24
3,7,34,35,38
2,8,12,31,39
10,11,28,33,38
17,25,27,31,36
1,4,19,29,36
9,28,30,35,38
10,11,16,24,39
9,10,24,28,30
15,18,26,29,31
13,19,21,26,36
2,14,19,33,37
3,14,18,19,35
4,28,31,37,38
10,13,19,26,33
7,10,12,24,30
3,6,11,13,35
16,18,25,33,34
20,21,25,32,39
4,6,8,22,25
1,6,19,20,35
20,27,33,34,39
1,11,24,26,39
8,13,23,25,36
3,23,24,26,32
3,5,6,7,37
1,3,14,26,28
4,10,14,16,37
11,24,28,33,39
2,7,9,16,34
7,10,11,24,28
4,6,10,21,24
3,8,20,23,26
1,4,5,17,36
4,13,17,24,25
9,23,24,33,35
1,11,16,26,32
11,14,22,28,35
2,8,10,17,18
6,8,21,29,31
1,4,11,22,39
2,3,15,18,33
5,20,26,38,39
2,7,24,29,39
5,13,20,29,36
2,17,27,35,38
2,3,14,27,34
7,10,15,23,35
6,13,17,32,33
18,21,27,34,38
21,25,26,27,35
12,19,22,28,38
7,20,26,27,38
6,13,16,30,37
20,21,24,35,36
8,10,20,24,33
1,2,12,26,33
1,11,23,27,34
13,23,28,32,39
2,4,6,12,22
6,8,12,23,31
6,10,12,26,32
7,17,30,35,37
10,20,22,34,36
10,22,23,29,37
1,5,14,28,29
3,8,12,26,34
1,4,7,14,23
2,5,13,16,23
8,10,19,25,32
1,2,9,25,37
10,13,18,27,31
1,6,13,26,28
1,13,19,33,36
7,18,21,38,39
12,28,32,33,36
5,11,12,15,21
16,18,22,33,39
3,23,27,34,37
4,18,23,34,35
1,3,6,18,38
2,4,10,20,29
20,25,32,34,36
8,18,20,23,32
2,3,6,18,30
10,19,29,34,38
8,21,22,36,39
3,6,10,18,33
5,21,28,35,36
14,16,18,21,39
8,15,16,18,23
12,15,24,29,34
1,3,12,19,23
1,3,15,18,39
1,14,17,22,34
11,17,23,27,35
13,15,24,33,36
3,5,17,24,26
2,18,24,26,30
19,23,24,33,34
1,7,14,21,35
24,25,34,37,39
1,5,13,16,36
4,5,9,18,19
5,17,25,30,36
1,17,18,35,37
3,12,21,25,39
6,12,16,24,29
12,14,25,37,38
2,12,19,28,35
6,7,9,13,35
5,12,18,30,36
3,7,13,28,32
10,20,22,28,31
17,22,24,31,37
4,20,30,34,35
6,19,25,27,37
8,23,29,30,34
7,16,28,35,39
13,15,22,26,29
2,5,16,22,34
7,8,10,14,37
8,10,13,15,37
10,16,24,35,39
13,15,17,25,27
1,3,18,19,26
1,19,27,33,37
5,10,14,28,35
3,16,19,32,33
2,10,14,29,39
6,11,16,17,24
13,23,27,33,37
4,8,10,19,31
4,6,17,31,32
1,16,22,34,38
8,16,24,26,32
6,8,12,14,38
13,30,36,37,38
4,7,27,31,34
1,8,24,36,39
1,17,26,30,35
4,18,24,27,34
9,16,21,27,34
12,13,20,22,36
5,14,19,25,30
4,17,23,29,38
15,20,24,34,36
2,9,22,33,38
17,19,23,26,32
6,9,12,26,39
11,14,22,24,34
2,6,9,22,39
12,14,31,34,35
6,12,13,30,39
5,11,12,25,26
1,18,21,31,35
13,15,23,25,37
16,18,25,28,39
6,8,16,17,33
7,15,21,28,34
2,6,19,25,27
1,15,16,20,25
3,9,19,30,35
28,29,32,34,35
23,32,33,35,36
1,17,19,25,38
2,20,28,32,37
4,24,33,37,39
3,18,21,24,27
2,15,16,24,30
1,2,8,32,36
9,13,14,18,21
5,13,21,22,39
1,15,22,27,38
14,18,25,30,38
7,21,23,24,27
