iter	Logloss
0	0.6704344881
1	0.6404459267
2	0.6110214794
3	0.580832145
4	0.560856587
5	0.5399246244
6	0.5158158172
7	0.5004951151
8	0.4857061896
9	0.4662269876
10	0.4470685142
11	0.4305104293
12	0.415646097
13	0.403793061
14	0.3916076211
15	0.3811954202
16	0.3717512056
17	0.3620080109
18	0.35551576
19	0.3483117719
20	0.3423246012
21	0.335034999
22	0.3260460121
23	0.3201863342
24	0.3150759161
25	0.3076485462
26	0.3036070411
27	0.2989902165
28	0.2928940788
29	0.2880497594
30	0.2833712565
31	0.2784892664
32	0.2750467675
33	0.2720371974
34	0.2671259079
35	0.2651013076
36	0.2613061209
37	0.257412875
38	0.255280215
39	0.2531062078
40	0.2511834077
41	0.247376624
42	0.2446437098
43	0.2392770622
44	0.236744948
45	0.2344071352
46	0.2311480246
47	0.2278832862
48	0.2251946364
49	0.2237353613
50	0.2207282794
51	0.2192169753
52	0.216099111
53	0.2142456537
54	0.2119770122
55	0.2104835802
56	0.208488705
57	0.2055153314
58	0.2028357601
59	0.2008680368
60	0.1975453876
61	0.1962690658
62	0.1940221418
63	0.1925305865
64	0.1903535844
65	0.1889180173
66	0.1870213923
67	0.1849028248
68	0.1840670321
69	0.1823515524
70	0.1801041645
71	0.1777869795
72	0.1770482132
73	0.1754294283
74	0.1739440237
75	0.1723537376
76	0.1704611325
77	0.1694126807
78	0.1670758915
79	0.1657196962
80	0.1639664311
81	0.162157541
82	0.1601354002
83	0.1594333749
84	0.158464088
85	0.1566688206
86	0.1560992253
87	0.1545449041
88	0.1536444592
89	0.1525503319
90	0.152182982
91	0.1513455116
92	0.1500309959
93	0.1485015332
94	0.1473436297
95	0.1464955073
96	0.1451943524
97	0.1444628552
98	0.1433058518
99	0.1425193997
100	0.1416950233
101	0.1413272451
102	0.1398275505
103	0.1389627134
104	0.1380428491
105	0.1368707546
106	0.1357045068
107	0.1353875534
108	0.1337704071
109	0.1329032091
110	0.1313225034
111	0.1303020306
112	0.1291393646
113	0.1282305771
114	0.1276130228
115	0.1264681584
116	0.1254525035
117	0.1242539936
118	0.1235415026
119	0.12277193
120	0.1220292587
121	0.121474812
122	0.1209511942
123	0.1202810185
124	0.1195178621
125	0.1190697384
126	0.1181566731
127	0.1175303868
128	0.1164856259
129	0.1161102321
130	0.1153360357
131	0.1144713619
132	0.1136869566
133	0.1123056846
134	0.111541877
135	0.1109912943
136	0.1101793471
137	0.1096732305
138	0.1094790983
139	0.1091646722
140	0.1087893061
141	0.1083571092
142	0.1077316337
143	0.1071486777
144	0.1065830676
145	0.1059578243
146	0.1052413121
147	0.1045522798
148	0.1037432341
149	0.1029369175
150	0.102276245
151	0.1014377267
152	0.1007911824
153	0.09998807972
154	0.09969920427
155	0.09920713409
156	0.09893348681
157	0.09838123972
158	0.09773052737
159	0.09685637358
160	0.09665904945
161	0.09578856294
162	0.09521613033
163	0.094760309
164	0.09424934898
165	0.09368426577
166	0.09305712837
167	0.09233573448
168	0.09165921974
169	0.09120843418
170	0.09056491322
171	0.08983093771
172	0.08935452804
173	0.08859887298
174	0.08818948766
175	0.08753830182
176	0.08741008266
177	0.08683507538
178	0.08628319003
179	0.08600096303
180	0.08542209865
181	0.08489435622
182	0.08440810953
183	0.08391280635
184	0.0833947768
185	0.08278357684
186	0.08257812533
187	0.08211100628
188	0.08137826005
189	0.08105552537
190	0.080498926
191	0.07988752496
192	0.07921808337
193	0.07890839643
194	0.07809576418
195	0.07766682759
196	0.077149319151197	0.076931568820198	0.076314817201199	0.07604807202	200	0.075811203	0.201	0.07523204	0.1202	0.0750205	0.12203	0.074206	0.121204	0.07207	0.1213205	0.0208	0.1205206	0.0209	0.12024207	0.210	0.12002208	0.211	0.119197209	0212	0.1188790210	213	0.11863189211214	0.11789803212215	0.11756892221216	0.11714064012217	0.1168799321
218	0.1164327884
219	0.1158611922
220	0.1153540775
221	0.1151225305
222	0.1146540579
223	0.1143502629
224	0.1137620133
225	0.1128931316
226	0.1125703744
227	0.1122907654
228	0.1120692107
229	0.1115651494
230	0.1112252012
231	0.1108969953
232	0.1102263354
233	0.1096564702
234	0.1091875252
235	0.1089404168
236	0.1086772326
237	0.1085341978
238	0.108139704
239	0.1074946608
240	0.1071373101
241	0.106810325
242	0.106296217
243	0.106058642
244	0.1057436773
245	0.1050246272
246	0.1048601816
247	0.1044302422
248	0.1042393402
249	0.1039492988
250	0.1034752541
251	0.1031716168
252	0.1029568503
253	0.1025859711
254	0.1016711365
255	0.1013294488
256	0.1007325184
257	0.1002338057
258	0.09969610356
259	0.099404478
260	0.09938973252
261	0.09873723458
262	0.09809297566
263	0.09789149626
264	0.09737690721
265	0.09735856428
266	0.09712920879
267	0.09706547084
268	0.09693877584
269	0.09691633776
270	0.09677215708
271	0.09665002962
272	0.09602510274
273	0.0959469317
274	0.09538382676
275	0.09501968616
276	0.09424979959
277	0.09423502565
278	0.09407186175
279	0.09398031363
280	0.09356171434
281	0.0932587816
282	0.09287432609
283	0.09272042349
284	0.09193232762
285	0.09178562261
286	0.09142878614
287	0.09105935781
288	0.0906977216
289	0.09024646253
290	0.09010215408
291	0.08988688901
292	0.08950544662
293	0.0894498055
294	0.08905082193
295	0.08881295293
296	0.08865869479
297	0.088338509
298	0.08812297885
299	0.08780163222
657335593
295	0.04626169002
296	0.04609739148
297	0.04597276968
298	0.04575532523
299	0.04547791254
